PRODUCT_CODE,CATEGORY_CODES,BRAND_ASSIGNMENT,SIZECHART_ASSIGNMENT
BHJ42M,,,
BB22M,,,
WP2217,,,
WJ67,,,
FRJ01,,brands_berne,sizechart_clothes
FRC04,,,
FRSZ06,,,
FRSH10,,,
HVA157,,,
HVA152,,,
HVF021,,,
HVV055,,,
B377,,,
miva_test_product,,brands_berne,sizechart_clothes
WB515DBN,,,
WB515BK,,,
WB515PLM,,,
WHJ43PLM,,,
WHJ43DBN,,,
WHJ43BLB,,,
WCH65TNM,,,
WCH65PLM,,,
WCH65DBN,,,
WV24PLM,,,
WV24DBN,,,
WHJ64BB,,,
WSZ117PLH,,,
WSZ117JDH,,,
VW531BK,,,
VW531BB,,,
HJ626GSN,,,
HJ626BB,,,
P967BB,,,
HD101MD,,,
HD101BB,,,
B1068BB,,,
SH70PR,,,
SH69PRE,,,
SZ101NV,,,
SZ101DBN,,,
SZ101CH,,,
SZ101BK,,,
BSM11DR,,,
P917PTY,,,
P522GRA,,,
HJ56FG,,,
HJ56BK,,,
HJ56BB,,,
P700NV,,,
P700CH,,,
HJ375MGN,,,
HJ375BK,,,
HJ375BB,,,
CH377OD,,,
CH377BK,,,
CH377BB,,,
B910SWD,,,
B1067BD,,,
B1212DN,,,
HJ51ND,,,
HJ51BD,,,
HJ51BK,,,
CH416BD,,,
CH416BK,,,
SP300NV,,,
SP300CH,,,
SP300BK,,,
HJ61ND,,,
HJ61BK,,,
HJ61BB,,,
BSM39NV,,,
BSM39BK,,,
H150BD,,,
H150BK,,,
GLV12BK,,,
GLV12BD,,,
B377BD,,,
B377BK,,,
B377BB,,,
J374MD,,,
J374BB,,,
HVK007YW,,,
HVK002YW,,,
HVK003YW,,,
HVV042YW,,,
BSM16NV,,,
BSM16DS,,,
BSM16BK,,,
BSM23NV,,,
BSM23BK,,,
GLV50BK,,,
GLV50BD,,,
HJ62TNM,,,
HJ62BB,,,
FRB05ND,,,
FRB05BD,,,
HJ317BK,,,
HJ317BB,,,
CH317BK,,,
CH317BB,,,
JL17DW,,,
JL17BB,,,
V812BD,,,
V812BK,,,
C210NV,,,
B414NV,,,
I417BD,,,
I417BK,,,
B415BD,,,
B415BK,,,
GLV67GLD,,,
P998SWD,,,
P999SWD,,,
SH71SLA,,,
SH71ND,,,
HD100NV,,,
HD100BD,,,
HD100BK,,,
BB21PLM,,,
BHJ41TPLM,,,
BHJ41PLM,,,
BB21BB,,,
BHJ42BB,,,
BHJ61PLM,,,
BHJ61BB,,,
